data,produto,categoria,quantidade,preco_unitario,loja
2023-05-23,Carregador Basic,Celulares,8,1587.17,Loja D
2024-03-06,Geladeira Mini,Eletrodomésticos,7,2567.62,Loja E
2023-08-27,Organizador Basic,Escritório,5,868.16,Loja C
2023-09-12,Soundbar XL,TV e Áudio,10,4195.4,Loja D
2023-03-10,Geladeira Plus,Eletrodomésticos,10,688.28,Loja D
2023-07-29,Organizador Mini,Escritório,5,2114.48,Loja C
2023-03-31,Carregador Plus,Celulares,10,3466.44,Loja C
2023-02-11,Liquidificador XL,Eletrodomésticos,10,2515.3,Loja C
2023-10-13,Carregador Mini,Celulares,8,2409.92,Loja A
2023-04-13,TV LED Mini,TV e Áudio,2,4835.37,Loja D
2024-05-04,Organizador XL,Escritório,6,3106.69,Loja B
2024-01-16,Monitor Gamer,Informática,4,220.21,Loja C
2023-03-20,Liquidificador Basic,Eletrodomésticos,2,2398.8,Loja B
2024-02-27,Fone Bluetooth Plus,Celulares,4,1111.72,Loja D
2024-02-17,Webcam Pro,Informática,2,1372.2,Loja B
2024-01-24,Ventilador Mini,Eletrodomésticos,3,807.44,Loja D
2024-05-23,Carregador Basic,Celulares,9,2688.3,Loja E
2023-03-14,Caixa de Som Mini,TV e Áudio,2,3924.87,Loja B
2024-03-07,Soundbar Mini,TV e Áudio,4,4653.72,Loja E
2023-07-14,Geladeira Plus,Eletrodomésticos,4,415.99,Loja A
2024-02-17,Webcam Basic,Informática,10,4162.66,Loja C
2023-09-28,Caixa de Som Plus,TV e Áudio,8,2862.77,Loja B
2024-05-20,Home Theater Gamer,TV e Áudio,4,2379.5,Loja D
2023-11-11,Webcam Plus,Informática,2,4542.6,Loja D
2023-12-04,Webcam Mini,Informática,3,2426.07,Loja A
2023-12-04,Smartphone Plus,Celulares,7,3934.56,Loja A
2023-06-27,Liquidificador Plus,Eletrodomésticos,2,3120.26,Loja D
2023-06-12,Luminária XL,Escritório,2,1013.89,Loja D
2024-06-19,Cadeira Plus,Escritório,5,4455.95,Loja B
2023-11-16,Caixa de Som Basic,TV e Áudio,8,2093.02,Loja D
2023-02-22,Monitor Pro,Informática,10,2679.6,Loja C
2023-12-17,Home Theater Gamer,TV e Áudio,2,3695.7,Loja C
2023-03-15,Geladeira Pro,Eletrodomésticos,2,123.03,Loja D
2023-05-08,Ventilador Pro,Eletrodomésticos,7,2632.37,Loja C
2023-04-28,Home Theater Basic,TV e Áudio,7,1653.9,Loja B
2023-01-05,Luminária Gamer,Escritório,6,3543.2,Loja C
2023-09-07,Notebook Plus,Informática,10,4066.34,Loja B
2023-08-11,Carregador Plus,Celulares,7,4116.64,Loja D
2023-08-20,Aspirador Plus,Eletrodomésticos,10,3833.44,Loja E
2023-08-27,Luminária Basic,Escritório,5,660.3,Loja D
2023-02-07,Mesa Plus,Escritório,3,328.95,Loja B
2024-04-13,Monitor Pro,Informática,9,4441.86,Loja B
2023-04-27,Luminária Pro,Escritório,5,609.0,Loja C
2023-06-01,Organizador XL,Escritório,6,4481.5,Loja B
2023-07-09,Monitor Plus,Informática,10,3763.91,Loja D
2023-09-02,Teclado Pro,Informática,6,273.06,Loja D
2023-08-23,Ventilador Gamer,Eletrodomésticos,4,3678.24,Loja D
2024-02-21,Ventilador Plus,Eletrodomésticos,10,3444.9,Loja C
2023-04-30,Luminária Pro,Escritório,10,2606.27,Loja D
2023-03-09,Luminária Plus,Escritório,1,537.11,Loja C
2023-10-02,Organizador Pro,Escritório,5,1375.54,Loja A
2023-07-31,Geladeira Pro,Eletrodomésticos,6,1835.07,Loja B
2023-01-24,Mesa Pro,Escritório,7,225.75,Loja D
2023-08-17,Mouse Mini,Informática,2,3997.02,Loja B
2023-10-06,Organizador XL,Escritório,1,3958.45,Loja E
2023-08-14,Soundbar Pro,TV e Áudio,6,4404.46,Loja C
2023-06-19,Luminária XL,Escritório,3,1375.96,Loja C
2023-02-27,Home Theater XL,TV e Áudio,1,4345.93,Loja A
2023-10-24,Carregador Basic,Celulares,7,3922.88,Loja D
2023-07-10,Notebook Basic,Informática,3,1697.66,Loja B
2023-08-31,Cadeira Plus,Escritório,9,1324.09,Loja D
2023-02-04,Cadeira XL,Escritório,9,3161.61,Loja D
2023-09-06,Monitor Basic,Informática,9,185.14,Loja E
2023-08-25,Monitor XL,Informática,5,4056.22,Loja B
2024-05-01,Luminária Plus,Escritório,10,699.65,Loja D
2024-02-29,Mesa Basic,Escritório,4,3495.41,Loja E
2024-05-05,Notebook Gamer,Informática,1,1279.79,Loja D
2023-06-11,Luminária Pro,Escritório,9,4792.34,Loja A
2024-01-04,Notebook XL,Informática,1,3595.51,Loja E
2023-11-09,Soundbar Plus,TV e Áudio,9,2898.83,Loja E
2023-04-16,Fone Bluetooth Basic,Celulares,2,4625.71,Loja D
2023-09-10,Capa Plus,Celulares,4,3936.07,Loja E
2023-12-29,Carregador Pro,Celulares,4,3446.63,Loja D
2023-03-07,Smartphone Basic,Celulares,5,199.79,Loja E
2023-06-19,Webcam Plus,Informática,8,4095.82,Loja A
2023-06-11,Aspirador Gamer,Eletrodomésticos,4,1360.54,Loja D
2024-01-09,Monitor Pro,Informática,3,1560.72,Loja A
2023-01-07,Notebook XL,Informática,4,40.73,Loja A
2023-08-12,Caixa de Som Plus,TV e Áudio,2,4216.43,Loja B
2023-01-29,Cadeira Pro,Escritório,10,304.78,Loja E
2024-02-27,Soundbar Gamer,TV e Áudio,8,4226.18,Loja A
2024-06-08,Geladeira Pro,Eletrodomésticos,5,599.99,Loja D
2023-02-26,Mouse Gamer,Informática,3,4520.71,Loja E
2024-03-29,Webcam XL,Informática,1,4939.78,Loja A
2023-12-20,Capa Basic,Celulares,10,244.74,Loja E
2023-12-14,TV LED Plus,TV e Áudio,4,2422.06,Loja E
2024-06-09,Mouse Gamer,Informática,4,3424.26,Loja D
2023-08-27,Home Theater Mini,TV e Áudio,4,3812.92,Loja D
2023-08-05,Ventilador Mini,Eletrodomésticos,10,3053.45,Loja D
2023-03-29,Mouse Mini,Informática,4,294.37,Loja D
2023-09-06,Mesa Gamer,Escritório,6,3771.37,Loja E
2023-07-12,Soundbar Gamer,TV e Áudio,6,4688.18,Loja D
2024-02-04,Fone Bluetooth Mini,Celulares,1,4896.56,Loja C
2024-02-26,Liquidificador XL,Eletrodomésticos,5,2209.44,Loja E
2023-11-15,Luminária XL,Escritório,10,221.67,Loja C
2023-11-13,Smartphone Pro,Celulares,8,4205.89,Loja A
2024-04-28,Liquidificador Gamer,Eletrodomésticos,8,1498.88,Loja A
2023-06-13,Luminária Pro,Escritório,10,1793.18,Loja D
2024-02-10,Monitor Gamer,Informática,1,1658.25,Loja D
2023-01-07,Soundbar Gamer,TV e Áudio,2,3548.95,Loja B
2024-05-12,Home Theater Mini,TV e Áudio,7,3686.4,Loja E
2023-06-16,Mouse Pro,Informática,2,3926.28,Loja A
2023-02-02,Ventilador Pro,Eletrodomésticos,10,2501.04,Loja D
2023-10-31,Soundbar Basic,TV e Áudio,5,358.94,Loja E
2024-02-17,Smartphone Pro,Celulares,4,3538.38,Loja B
2023-11-05,Smartphone Basic,Celulares,1,3381.37,Loja D
2024-01-23,TV LED Mini,TV e Áudio,10,1226.46,Loja E
2023-02-03,Webcam Plus,Informática,9,2444.79,Loja C
2023-01-02,Ventilador XL,Eletrodomésticos,8,1577.75,Loja B
2023-12-04,Organizador Pro,Escritório,7,1072.78,Loja C
2023-11-26,Monitor Plus,Informática,8,3913.34,Loja D
2023-03-20,Carregador Pro,Celulares,8,3599.26,Loja E
2024-03-29,Aspirador Plus,Eletrodomésticos,5,2475.87,Loja D
2024-03-18,Organizador Basic,Escritório,8,4458.09,Loja B
2024-01-23,Luminária Basic,Escritório,5,1854.73,Loja B
2023-10-16,Capa Basic,Celulares,4,4077.92,Loja C
2023-10-31,Caixa de Som Plus,TV e Áudio,10,493.46,Loja B
2024-02-12,Mesa Mini,Escritório,9,3285.62,Loja B
2024-01-25,Capa XL,Celulares,5,1087.17,Loja B
2023-12-03,Liquidificador Pro,Eletrodomésticos,6,3572.37,Loja A
2024-01-01,Luminária Basic,Escritório,3,2735.88,Loja C
2023-02-20,Webcam Pro,Informática,8,1596.76,Loja D
2023-09-09,Monitor Plus,Informática,3,4966.9,Loja A
2023-04-27,Carregador Mini,Celulares,1,4732.28,Loja C
2024-01-12,Luminária Basic,Escritório,3,297.53,Loja B
2023-11-08,Geladeira Basic,Eletrodomésticos,3,3233.75,Loja E
2024-03-18,Carregador Pro,Celulares,3,1545.17,Loja C
2023-10-03,Home Theater Gamer,TV e Áudio,2,333.19,Loja B
2023-11-03,Cadeira Basic,Escritório,10,2667.16,Loja C
2024-03-22,Monitor Gamer,Informática,10,229.59,Loja C
2023-10-28,Notebook Gamer,Informática,4,2757.03,Loja C
2024-04-18,Fone Bluetooth Basic,Celulares,6,1582.15,Loja E
2023-08-02,TV LED XL,TV e Áudio,2,3935.37,Loja A
2024-03-29,Cadeira Pro,Escritório,8,4245.27,Loja A
2024-06-18,Home Theater Mini,TV e Áudio,9,2664.36,Loja D
2023-01-21,Cadeira Basic,Escritório,3,2254.85,Loja C
2023-04-09,Liquidificador XL,Eletrodomésticos,4,2888.68,Loja B
2024-04-17,Ventilador XL,Eletrodomésticos,5,154.4,Loja A
2024-02-09,Home Theater Mini,TV e Áudio,5,4577.71,Loja A
2024-01-08,Soundbar Basic,TV e Áudio,7,4740.49,Loja E
2023-06-27,Mesa Mini,Escritório,9,4133.25,Loja B
2024-04-28,Mouse Plus,Informática,4,3584.35,Loja C
2024-04-29,Webcam Pro,Informática,8,1635.8,Loja B
2024-04-26,Aspirador XL,Eletrodomésticos,5,3929.38,Loja D
2024-01-15,Capa Basic,Celulares,1,1094.4,Loja D
2023-06-14,Mesa Basic,Escritório,8,1101.46,Loja C
2023-02-04,Ventilador Gamer,Eletrodomésticos,10,4571.31,Loja B
2023-06-17,Mouse Gamer,Informática,7,4766.91,Loja A
2023-04-22,Monitor Basic,Informática,4,973.21,Loja D
2023-07-03,Liquidificador Gamer,Eletrodomésticos,3,1926.97,Loja E
2024-05-07,Caixa de Som Gamer,TV e Áudio,4,2719.09,Loja E
2024-01-22,Soundbar Gamer,TV e Áudio,8,1043.71,Loja C
2024-01-26,Ventilador Pro,Eletrodomésticos,10,2604.0,Loja A
2023-08-20,Luminária Mini,Escritório,4,4611.95,Loja B
2023-03-18,Home Theater Mini,TV e Áudio,8,4668.03,Loja B
2023-04-19,Notebook XL,Informática,1,3007.14,Loja B
2023-11-24,Home Theater Gamer,TV e Áudio,3,507.54,Loja A
2024-04-23,Luminária XL,Escritório,5,803.04,Loja B
2024-01-22,Organizador Gamer,Escritório,2,961.52,Loja C
2023-07-20,Organizador Mini,Escritório,1,3260.37,Loja D
2024-02-01,Webcam Mini,Informática,8,3125.21,Loja D
2023-04-21,Ventilador Pro,Eletrodomésticos,7,3069.26,Loja D
2023-02-11,Monitor Pro,Informática,1,3954.06,Loja A
2024-03-26,Webcam XL,Informática,8,3029.49,Loja B
2023-07-16,Home Theater Pro,TV e Áudio,9,809.89,Loja B
2023-07-24,Smartphone Basic,Celulares,5,734.98,Loja C
2024-01-24,Aspirador Plus,Eletrodomésticos,9,1796.83,Loja C
2023-10-13,Home Theater Basic,TV e Áudio,7,4580.62,Loja B
2023-07-25,Capa Mini,Celulares,10,892.3,Loja C
2023-03-13,Soundbar XL,TV e Áudio,8,2375.17,Loja B
2023-10-17,Mouse Gamer,Informática,6,3957.48,Loja C
2023-03-25,Luminária Gamer,Escritório,8,774.95,Loja D
2023-03-07,Carregador XL,Celulares,5,4728.81,Loja A
2023-09-12,Home Theater Plus,TV e Áudio,5,2897.79,Loja C
2023-10-20,Luminária Pro,Escritório,4,411.13,Loja B
2023-01-08,Capa XL,Celulares,6,3657.81,Loja A
2024-04-25,Mesa Mini,Escritório,7,733.73,Loja A
2024-01-26,Aspirador Plus,Eletrodomésticos,9,4662.18,Loja C
2024-05-13,TV LED Plus,TV e Áudio,10,3965.65,Loja E
2024-02-02,Caixa de Som Mini,TV e Áudio,1,1582.13,Loja E
2024-02-04,Home Theater Gamer,TV e Áudio,8,4979.41,Loja D
2023-04-16,TV LED Basic,TV e Áudio,9,165.59,Loja A
2023-06-18,Monitor Basic,Informática,9,3170.44,Loja E
2023-08-24,Organizador Basic,Escritório,7,1394.1,Loja A
2023-12-27,Ventilador Mini,Eletrodomésticos,4,845.68,Loja E
2023-09-06,Luminária Plus,Escritório,1,1422.77,Loja B
2023-01-10,Fone Bluetooth Basic,Celulares,4,601.25,Loja E
2023-04-15,Caixa de Som Gamer,TV e Áudio,9,1875.28,Loja D
2023-07-31,Soundbar Mini,TV e Áudio,8,3139.26,Loja C
2023-09-04,TV LED Plus,TV e Áudio,5,3042.29,Loja C
2024-06-19,Luminária XL,Escritório,10,4837.86,Loja C
2024-06-15,Monitor Basic,Informática,3,545.19,Loja C
2023-12-27,Smartphone Basic,Celulares,4,49.58,Loja D
2023-04-01,Luminária Gamer,Escritório,3,4558.27,Loja A
2024-01-04,Fone Bluetooth Basic,Celulares,9,4355.91,Loja A
2024-02-09,Capa Plus,Celulares,1,1898.95,Loja D
2023-02-12,Smartphone Pro,Celulares,6,680.75,Loja D
2024-02-09,Liquidificador XL,Eletrodomésticos,9,4016.59,Loja C
2024-01-23,Mesa Basic,Escritório,5,316.01,Loja E
2023-09-25,Smartphone Mini,Celulares,2,4322.05,Loja D
2024-01-03,Capa Basic,Celulares,9,1801.82,Loja D
2024-03-13,Cadeira Mini,Escritório,9,2009.0,Loja A
2023-07-24,Mesa XL,Escritório,10,3389.56,Loja E
2024-02-15,Fone Bluetooth Plus,Celulares,7,2624.92,Loja C
2024-03-22,Cadeira Mini,Escritório,2,1983.59,Loja B
2024-01-10,Soundbar Mini,TV e Áudio,10,2035.74,Loja B
2023-10-30,Fone Bluetooth Basic,Celulares,6,3941.32,Loja C
2024-02-15,Monitor Pro,Informática,1,2802.97,Loja A
2024-02-19,Carregador XL,Celulares,8,140.96,Loja D
2023-09-17,Soundbar XL,TV e Áudio,2,1586.23,Loja C
2024-03-24,Monitor Gamer,Informática,8,840.8,Loja A
2023-01-21,Fone Bluetooth Gamer,Celulares,4,1733.71,Loja D
2024-03-31,Smartphone Gamer,Celulares,8,2854.09,Loja E
2023-05-23,Luminária Pro,Escritório,6,2992.74,Loja D
2023-04-21,Ventilador Gamer,Eletrodomésticos,7,2984.61,Loja D
2023-01-27,Notebook Pro,Informática,4,4099.31,Loja B
2024-04-22,Carregador Mini,Celulares,4,2613.87,Loja A
2023-11-23,Smartphone Gamer,Celulares,5,3966.43,Loja E
2023-09-15,Soundbar XL,TV e Áudio,2,4306.49,Loja C
2023-12-25,Capa Plus,Celulares,2,1257.35,Loja B
2023-10-05,Home Theater Plus,TV e Áudio,9,4699.27,Loja A
2024-05-22,Ventilador XL,Eletrodomésticos,10,798.18,Loja E
2023-07-14,Aspirador Basic,Eletrodomésticos,4,4003.69,Loja C
2023-11-15,Aspirador Gamer,Eletrodomésticos,7,2266.6,Loja E
2023-08-19,Notebook Gamer,Informática,5,4207.32,Loja A
2024-02-07,Fone Bluetooth Gamer,Celulares,4,3987.0,Loja B
2023-09-20,Aspirador Pro,Eletrodomésticos,2,2819.6,Loja E
2023-11-25,Carregador Pro,Celulares,5,1266.04,Loja A
2023-09-01,Mesa Basic,Escritório,5,3886.47,Loja B
2023-12-08,Webcam Basic,Informática,4,381.47,Loja E
2023-12-05,Luminária Basic,Escritório,9,1310.63,Loja E
2024-03-18,Webcam Mini,Informática,9,1435.62,Loja B
2024-04-22,Smartphone Basic,Celulares,10,4853.02,Loja C
2023-03-22,Notebook XL,Informática,7,3959.22,Loja B
2024-05-07,Smartphone Plus,Celulares,10,1992.89,Loja C
2023-10-19,Fone Bluetooth Mini,Celulares,6,4161.9,Loja A
2024-01-15,Ventilador XL,Eletrodomésticos,3,173.14,Loja E
2023-02-26,Geladeira Mini,Eletrodomésticos,3,4554.12,Loja A
2023-10-04,Soundbar XL,TV e Áudio,10,4242.94,Loja D
2023-03-18,Carregador Gamer,Celulares,1,1326.96,Loja C
2023-03-20,Teclado Basic,Informática,7,2333.59,Loja B
2024-06-19,Notebook Gamer,Informática,1,3265.88,Loja A
2023-07-26,Mouse Mini,Informática,1,3588.33,Loja D
2024-06-25,Caixa de Som Plus,TV e Áudio,7,874.99,Loja D
2024-04-25,TV LED Pro,TV e Áudio,9,1570.8,Loja B
2024-02-09,Fone Bluetooth Mini,Celulares,7,3138.47,Loja D
2023-01-04,Notebook Gamer,Informática,7,951.78,Loja E
2023-08-26,Carregador Basic,Celulares,6,3186.76,Loja A
2024-01-08,Home Theater Plus,TV e Áudio,7,2543.87,Loja D
2023-04-24,Organizador XL,Escritório,4,2825.23,Loja D
2023-04-21,Liquidificador Mini,Eletrodomésticos,1,3926.4,Loja E
2023-09-07,Capa Pro,Celulares,1,4026.45,Loja D
2024-01-28,Capa Gamer,Celulares,8,3994.61,Loja D
2023-05-14,Home Theater XL,TV e Áudio,3,4934.99,Loja B
2023-06-25,Geladeira XL,Eletrodomésticos,2,3962.95,Loja C
2024-05-09,Smartphone Basic,Celulares,9,2313.86,Loja B
2023-10-10,Carregador Gamer,Celulares,5,1160.09,Loja C
2023-10-02,Geladeira XL,Eletrodomésticos,2,1181.31,Loja D
2023-02-12,Capa XL,Celulares,4,1103.51,Loja D
2023-11-24,Monitor Basic,Informática,1,4098.49,Loja D
2023-01-05,Smartphone XL,Celulares,3,2395.74,Loja D
2024-05-14,Mesa XL,Escritório,6,4055.41,Loja E
2024-02-14,Ventilador Basic,Eletrodomésticos,7,1145.55,Loja D
2023-03-13,Liquidificador Gamer,Eletrodomésticos,2,968.84,Loja A
2023-12-29,TV LED Pro,TV e Áudio,10,3793.72,Loja E
2023-12-03,Geladeira Plus,Eletrodomésticos,1,1647.31,Loja B
2024-04-07,Carregador Mini,Celulares,10,4803.06,Loja C
2023-08-30,Luminária Gamer,Escritório,6,2576.38,Loja B
2023-05-20,Mouse XL,Informática,7,3626.82,Loja E
2023-03-03,Mesa Mini,Escritório,3,1523.68,Loja E
2023-01-17,Liquidificador Gamer,Eletrodomésticos,4,2507.9,Loja B
2023-07-18,Home Theater Pro,TV e Áudio,4,3234.81,Loja D
2023-03-21,Capa Pro,Celulares,7,3073.45,Loja A
2023-11-04,Fone Bluetooth XL,Celulares,8,1460.12,Loja D
2024-03-22,Cadeira Pro,Escritório,2,2257.54,Loja D
2023-12-22,Geladeira Pro,Eletrodomésticos,1,3611.67,Loja A
2023-06-01,Notebook Plus,Informática,9,3949.09,Loja A
2023-02-08,Aspirador Plus,Eletrodomésticos,4,1228.9,Loja D
2023-10-05,Smartphone Mini,Celulares,4,2080.75,Loja B
2023-12-16,TV LED Pro,TV e Áudio,3,1439.06,Loja D
2023-02-23,Aspirador Mini,Eletrodomésticos,2,4121.46,Loja D
2023-04-14,Webcam Gamer,Informática,6,1469.96,Loja E
2023-03-01,Soundbar Pro,TV e Áudio,4,272.8,Loja C
2023-01-04,Luminária Plus,Escritório,8,4278.23,Loja A
2024-05-25,Monitor Pro,Informática,10,2322.17,Loja C
2023-05-29,Notebook Basic,Informática,10,3558.49,Loja D
2024-02-06,TV LED Gamer,TV e Áudio,1,4999.08,Loja E
2023-11-03,Organizador Plus,Escritório,9,392.03,Loja E
2023-08-09,Monitor Pro,Informática,3,3931.3,Loja B
2023-02-18,Aspirador Basic,Eletrodomésticos,1,954.79,Loja A
2024-02-16,TV LED Basic,TV e Áudio,7,1242.1,Loja A
2023-06-01,Carregador Gamer,Celulares,2,4589.74,Loja E
2023-11-07,Mesa Gamer,Escritório,8,3010.5,Loja B
2023-02-16,Webcam Pro,Informática,8,280.91,Loja B
2023-08-18,Notebook Gamer,Informática,2,2431.97,Loja D
2024-04-11,Carregador Plus,Celulares,7,279.42,Loja A
2024-02-19,Webcam XL,Informática,2,1967.47,Loja E
2024-05-09,Caixa de Som Pro,TV e Áudio,6,1066.37,Loja A
2023-08-29,Mouse Basic,Informática,2,1728.08,Loja D
2024-05-23,Caixa de Som Pro,TV e Áudio,1,1498.22,Loja A
2024-02-12,Notebook Basic,Informática,2,3271.7,Loja C
2023-04-14,Carregador Pro,Celulares,7,4606.23,Loja D
2023-03-22,Teclado Mini,Informática,1,1968.97,Loja B
2023-11-02,Carregador XL,Celulares,6,3941.36,Loja D
2023-06-14,Soundbar Pro,TV e Áudio,8,175.16,Loja D
2024-06-09,Mesa Plus,Escritório,10,2118.19,Loja D
2023-11-19,Liquidificador Mini,Eletrodomésticos,2,1755.0,Loja E
2023-02-26,TV LED Pro,TV e Áudio,2,1909.95,Loja A
2024-06-05,Fone Bluetooth Gamer,Celulares,9,2870.25,Loja E
2023-06-18,Capa Pro,Celulares,8,935.85,Loja B
2023-11-12,Smartphone XL,Celulares,1,2984.25,Loja E
2023-09-22,Carregador Basic,Celulares,4,1317.32,Loja E
2024-06-23,Mouse Pro,Informática,2,4835.43,Loja A
2023-12-07,Aspirador Gamer,Eletrodomésticos,9,3036.18,Loja B
2023-04-21,Caixa de Som Mini,TV e Áudio,2,3314.76,Loja E
2023-12-16,Mouse Gamer,Informática,8,3842.99,Loja B
2023-02-10,TV LED Gamer,TV e Áudio,10,3796.86,Loja B
2024-04-03,Ventilador Mini,Eletrodomésticos,4,4095.32,Loja B
2023-05-26,Notebook Gamer,Informática,7,4872.71,Loja D
2023-12-07,Cadeira Mini,Escritório,7,2437.72,Loja B
2023-12-10,Soundbar Mini,TV e Áudio,4,256.23,Loja E
2023-04-03,Teclado XL,Informática,2,4996.26,Loja D
2023-06-16,Caixa de Som Plus,TV e Áudio,7,4138.79,Loja C
2023-05-22,Organizador Pro,Escritório,1,2126.11,Loja C
2024-02-19,Cadeira Basic,Escritório,4,3061.68,Loja A
2023-01-15,Notebook Pro,Informática,9,4771.33,Loja E
2023-09-28,Monitor Gamer,Informática,1,706.53,Loja D
2023-09-09,Fone Bluetooth Mini,Celulares,9,2653.72,Loja C
2024-03-26,Mesa Gamer,Escritório,9,1935.57,Loja C
2023-12-15,Capa Plus,Celulares,8,3438.74,Loja E
2023-02-24,Aspirador Mini,Eletrodomésticos,9,113.88,Loja A
2023-12-22,Geladeira Basic,Eletrodomésticos,2,3324.2,Loja B
2023-10-25,Mesa XL,Escritório,1,1076.12,Loja B
2023-08-07,Luminária Pro,Escritório,8,2352.55,Loja A
2024-06-04,Smartphone XL,Celulares,8,1056.62,Loja A
2023-05-08,Home Theater XL,TV e Áudio,9,2263.35,Loja E
2023-11-01,TV LED Plus,TV e Áudio,2,2076.37,Loja B
2024-06-29,Cadeira XL,Escritório,9,4058.96,Loja D
2023-03-04,Smartphone Basic,Celulares,4,3432.54,Loja B
2023-05-27,Ventilador Pro,Eletrodomésticos,2,734.69,Loja E
2023-03-16,Teclado Basic,Informática,10,2871.99,Loja B
2024-04-11,Ventilador XL,Eletrodomésticos,6,3811.81,Loja D
2023-11-11,Geladeira Mini,Eletrodomésticos,5,3938.04,Loja B
2023-04-20,Webcam Mini,Informática,6,200.34,Loja E
2023-04-26,Organizador Plus,Escritório,5,4428.08,Loja E
2023-10-11,Luminária Mini,Escritório,6,2341.03,Loja D
2024-03-31,Monitor Gamer,Informática,4,749.65,Loja B
2023-12-27,Geladeira Mini,Eletrodomésticos,9,3246.73,Loja D
2024-04-09,Mesa XL,Escritório,7,3845.09,Loja E
2024-04-03,Aspirador Mini,Eletrodomésticos,10,1834.56,Loja D
2023-12-01,Cadeira Basic,Escritório,1,700.55,Loja B
2023-06-08,Carregador Pro,Celulares,10,3735.22,Loja C
2023-04-27,Carregador Gamer,Celulares,9,1086.89,Loja A
2023-02-20,Geladeira Basic,Eletrodomésticos,9,2383.88,Loja A
2023-07-10,Aspirador Plus,Eletrodomésticos,9,4081.93,Loja E
2023-02-14,Capa Gamer,Celulares,5,2946.92,Loja D
2023-04-29,Geladeira Basic,Eletrodomésticos,10,1974.77,Loja E
2023-05-21,Fone Bluetooth XL,Celulares,8,223.18,Loja D
2023-08-28,Ventilador XL,Eletrodomésticos,3,2307.46,Loja E
2024-03-23,Mouse XL,Informática,3,3496.45,Loja B
2024-05-30,TV LED Plus,TV e Áudio,8,263.37,Loja A
2023-02-05,Webcam Pro,Informática,5,167.79,Loja B
2023-02-14,Webcam XL,Informática,4,4158.75,Loja E
2024-03-24,TV LED Mini,TV e Áudio,5,776.72,Loja A
2023-06-26,Carregador Basic,Celulares,1,4911.28,Loja E
2023-08-14,Teclado Plus,Informática,8,3440.1,Loja C
2024-01-27,Liquidificador Mini,Eletrodomésticos,4,454.16,Loja C
2023-11-01,Ventilador Gamer,Eletrodomésticos,4,4246.35,Loja B
2023-06-19,Luminária Pro,Escritório,7,4761.26,Loja A
2023-04-08,Home Theater Mini,TV e Áudio,7,2874.33,Loja E
2024-05-14,Caixa de Som Basic,TV e Áudio,7,2138.95,Loja B
2024-05-08,Webcam Gamer,Informática,5,679.19,Loja B
2024-01-28,TV LED Mini,TV e Áudio,6,2491.17,Loja E
2023-09-20,Caixa de Som Pro,TV e Áudio,1,1753.82,Loja C
2023-09-02,Organizador Mini,Escritório,10,3728.36,Loja A
2023-04-10,Carregador Mini,Celulares,9,1966.56,Loja B
2024-04-07,Liquidificador Plus,Eletrodomésticos,8,517.32,Loja C
2024-02-29,Capa Mini,Celulares,3,2505.03,Loja B
2023-10-21,Monitor Gamer,Informática,4,1694.49,Loja E
2024-03-31,Webcam Mini,Informática,7,1224.58,Loja B
2023-06-03,Mouse Gamer,Informática,6,923.76,Loja D
2023-01-01,Teclado Plus,Informática,10,247.2,Loja B
2023-07-19,Capa Gamer,Celulares,1,4546.78,Loja A
